docId,alias,label,permid
nTOPCN-20180208T061835_000_xml.xml,Hang Seng Index,0,4297203553
nDJR7bzTX3-20180301T212140_724_xml.xml,7M,0,5044341321
nHKS45H453-20180116T092549_221_xml.xml,Acrobat,0,5001009223
nMNS7CWpmD-20180523T050300_138_xml.xml,ISTAT,0,5001203937
nNRA6dak0e-20180301T052707_151_xml.xml,Bhatti,0,4297610175
nDJR9t8tJw-20180329T160540_290_xml.xml,Accounts payable,0,4296688964
nPn5VhcMqa-20180216T171804_983_xml.xml,the City of Burbank,0,4296801221
nL3N1SF536-20180508T124643_000_xml.xml,Q1,0,5038989360
nATRlVGhP-20180203T030419_411_xml.xml,CATV,0,4295892384
nMNSJhT32-20180130T141150_077_xml.xml,Q4,0,5019549472
nTOPFIN-20180521T121515_000_xml.xml,EQE,0,4296416088
nNRA6a2hju-20180216T224636_965_xml.xml,Validity,0,5043462358
nDJRcggPCr-20180329T165628_575_xml.xml,Exposure,0,5025359688
nDJR208CpB-20180312T104830_375_xml.xml,Genomics Medicine,0,5046321149
nDJR3sDz6G-20180105T183000_000_xml.xml,Healthy,0,4295942194
nDJRcggPCr-20180329T165628_575_xml.xml,Infill,0,4298186643
nGNE73DXg9-20180430T053014_733_xml.xml,YTD,0,5000494424
nNRA6xug2b-20180512T073130_959_xml.xml,in N,0,5059020455
nDJRb0ywcC-20180730T191146_793_xml.xml,are Capital,0,5043460296
nDJR8vfkg3-20180201T140500_000_xml.xml,Moderate,0,4297826008
nNRA5zj8r8-20180105T114052_704_xml.xml,President's,0,
nDJR1nPYgg-20180602T100014_893_xml.xml,Add in,0,4296919248
nGNX6SK81K-20180722T190002_348_xml.xml,The Law Offices,0,5043339662
nDJR4FD5yr-20180308T131625_326_xml.xml,Healy,0,4296354815
nNRA6bcaxb-20180223T021002_549_xml.xml,At A,0,4297080740
nCJX57jQbR-20180410T125456_889_xml.xml,PFS,0,5037129032
nARGnyNS6a-20180117T162831_475_xml.xml,Esfahan Steel,1,4297254997
nDJR7JmBjf-20180522T054951_328_xml.xml,Q4,0,5051398860
nNRA6fi17y-20180308T223123_342_xml.xml,Vermont,0,4295909141
nGUR5lTtDn-20180523T094817_091_xml.xml,MACD,0,5041749575
nDJRbWmlC3-20180410T054512_021_xml.xml,SevenDay Finans,0,5035396949
nAAp52991a-20180503T173509_842_xml.xml,Santoro,0,5015885436
nIGB3FE3E9-20180122T164041_819_xml.xml,Tenderloin,0,5001398900
nNRA6amwvq-20180220T104730_789_xml.xml,Uncle,0,4297535501
nDJR7JmBjf-20180522T054951_328_xml.xml,REC,0,5035911677
nDJR3ZWxGC-20180502T124000_443_xml.xml,Tap,0,4297921171
nL8N1R21Y1-20180321T104236_000_xml.xml,Stratos,0,5035730496
nGNX66jTyM-20180529T114224_891_xml.xml,KIPUSHI,0,5038072412
nDJR59hWMK-20180413T110120_763_xml.xml,Phase 3,0,4296297682
nASX7Vd34-20180615T090638_857_xml.xml,SLF,0,5037620701
nGNX4fnvdw-20180507T150001_760_xml.xml,Indiana State University,0,4298219167
