docId,alias,label,permid
nATRbFFBQW-20180417T063042_614_xml.xml,Practice,0,5001072072
nDJR45G9mP-20180724T200918_059_xml.xml,INTEREST INCOME,0,4296892527
nDJR5c9kzb-20180621T121154_960_xml.xml,Lin,0,4295913122
nDJR6Nw6HR-20180117T080000_000_xml.xml,Lenders,0,4296805228
nNRA6nsaza-20180409T080010_472_xml.xml,Birthday,0,4295899709
nDJR2ZDCQh-20180719T093903_906_xml.xml,BlackRock Fund,0,5000233495
nMKW2Y1JQa-20180410T110000_252_xml.xml,Canadian securities,0,4297160111
nDJR9g5Jhl-20180503T103248_241_xml.xml,Financial Statement,0,4297176431
nNRA6ymg4x-20180515T204719_030_xml.xml,Investment Solutions,0,4296468893
nL4N1OX2D7-20180103T010000_000_xml.xml,FAVOR,0,5001229708
nDJR8DGclD-20180628T205836_113_xml.xml,Curran,0,4297632461
nCJXb93SWs-20180525T200800_000_xml.xml,the TSX Venture Exchange,0,4297959274
nAAp67813a-20180304T090115_902_xml.xml,Sean,0,5057777987
nTOPFIN-20180521T141147_000_xml.xml,Hyundai Motor Group,1,4298122494
nDJR4FHFfg-20180215T124646_842_xml.xml,Web site,0,4297405181
nFWN1P50RG-20180110T223529_810_xml.xml,Bangalore,0,5037050818
nDJR5hMRW3-20180215T151851_324_xml.xml,Hindenburg,0,5035717215
nDJR29rBSj-20180428T100044_059_xml.xml,DMF,0,5059997954
nDJR6lJ78m-20180126T162400_000_xml.xml,Global Equities,0,5052532668
nNOR6pfrfx-20180502T123714_006_xml.xml,Lithuania power,0,4296813195
nNRA6af1s6-20180219T095749_341_xml.xml,Ajmer,0,5001076418
nBw510YlNa-20180118T130001_227_xml.xml,Rotunda,0,5035395775
nBw85Yl5Za-20180125T200200_204_xml.xml,Bravado Designs,1,5035084367
nAAp31032a-20180228T220208_437_xml.xml,Autosport,0,5045038581
nDJR5LgJ8b-20180207T114600_000_xml.xml,Standard & Poor's Midcap,0,
nNRA6finon-20180308T234613_310_xml.xml,Wyatt,0,5001062260
nNRA6arq30-20180221T002119_592_xml.xml,Engineer,0,4297907735
nDJR3lCMDQ-20180614T124202_102_xml.xml,Charge,0,4296886994
nNBC2npnwx-20180409T114739_246_xml.xml,Eikon,0,5000830803
nNRA6ve3hw-20180503T123052_970_xml.xml,Film,0,5063147553
nGNE1DW7vp-20180711T120040_744_xml.xml,SecureAuth Corp,1,5043339657
nNRA6nkjwm-20180408T015415_636_xml.xml,City's,0,
nEMS0001B8-20180612T191919_928_xml.xml,Gen 4,0,5057498209
nL4N1U821P-20180712T035928_000_xml.xml,Dynamic Building,0,4297815926
nGNX5c5RKM-20180208T150003_686_xml.xml,Adverse Events,0,5043335798
nNRA68hcbw-20180209T181717_121_xml.xml,Holloway's,0,
nNRA72dud7-20180530T080053_658_xml.xml,Kris,0,5059070019
nDJR8rN03g-20180405T113005_386_xml.xml,Pharmacie,0,5060640536
nGNXbkLsxX-20180416T204137_902_xml.xml,Total home,0,4298050981
nNRA6fd6x2-20180308T133121_810_xml.xml,Fears,0,5035475647
nDJR6hxt8W-20180510T103449_389_xml.xml,Debt Reduction,0,5011782430
nNRA6o0p3s-20180409T232922_565_xml.xml,Hydraulic,0,4296044879
nDJR6VV1Dm-20180308T212307_706_xml.xml,Prev,0,4296170077
nDJR8px192-20180216T220611_167_xml.xml,Hocks,0,5034754447
nDJR1dvQtH-20180719T071405_305_xml.xml,Sterling Capital Management,1,5000359518
nDJR6XjCMX-20180522T131435_550_xml.xml,Balance Sheet,0,5051602194
nNRA67ttg7-20180206T181101_412_xml.xml,Atkinson,0,4296493802
nTOPG-20180115T113157_000_xml.xml,Agricultural Commodities,0,4297907576
nNRA6pekzl-20180413T213513_539_xml.xml,Pawar,0,5043422731
nDJR4j195g-20180301T190829_402_xml.xml,Queens,0,5001049563
nGUR7D4c7x-20180627T052108_128_xml.xml,TRADING CENTRAL,1,4297684299
nNRA6loqp0-20180330T234357_426_xml.xml,Doc,0,5035895813
nEMN4HGSUJ-20180427T120206_533_xml.xml,Esparza,0,5017081418
nDJRfkvw6-20180529T154512_556_xml.xml,Chancel,0,5001016925
