docId,alias,permid
nBSE180212-20180212T040032_000_xml.xml,INR,5059100826
nNRA6d80ds-20180228T220112_099_xml.xml,the Dow Jones,5000693448
nGNE9TKnzq-20180430T050035_446_xml.xml,INSIDE INFORMATION,5037947433
nMnw036789-20180514T144117_386_xml.xml,PSD,5000760718
nARGXWZwZa-20180109T150135_954_xml.xml,Request,4296895780
nDJR7YQxtx-20180628T224927_347_xml.xml,Yingkou,5037949148
nTOPCN-20180524T202003_000_xml.xml,China news,5000910013
nFitL44VH-20180301T190951_853_xml.xml,Sandro,5000006236
nBSE4HP1Hv-20180402T132254_703_xml.xml,Sh3,5037364628
nDJR18glsZ-20180502T202926_340_xml.xml,TBA,4296591276
nQOPNEWS-20180103T191359_000_xml.xml,Foreign Exchange,4295975207
nNRA61nx5a-20180114T001353_419_xml.xml,Alta,5040260786
nBSE7k366h-20180614T073948_335_xml.xml,Audit,5062456950
nDJRXMHKt-20180727T092202_150_xml.xml,Radar,5000810901
nDJR2ZzdWJ-20180614T151030_026_xml.xml,Aug,5036875000
nNRA6myypg-20180405T232706_211_xml.xml,Volgograd region,5000036391
nNRA6e5t5w-20180303T235053_171_xml.xml,I look,5037337740
nDJR9bM6XY-20180228T115348_167_xml.xml,BVA,5035461883
nNRA6yw3wl-20180516T164737_781_xml.xml,Cash 4,5055408349
nL1N1U71YN-20180711T223231_000_xml.xml,Frampton,4296656224
nDJR8HHqB3-20180312T220358_399_xml.xml,Linking,4298124531
nDJR49dwRr-20180201T211300_000_xml.xml,Private Securities,4296365883
nBw27JZx9a-20180523T070800_241_xml.xml,ISIN,4298243245
nCJX2syDdm-20180417T123200_000_xml.xml,President's,
nMnw036268-20180507T100039_391_xml.xml,HIGHER EDUCATION STUDENT ASSISTANCE,5037476782
nDJRJrZpk-20180503T201756_801_xml.xml,Dow Jones Newswires,5029331324
nJseS0007a-20180219T060033_089_xml.xml,AISC,5000951806
nL4N1RJ0P8-20180413T104944_000_xml.xml,PLENTY OF,5040253458
nDJRbXPS2V-20180429T222406_889_xml.xml,Rule,4295911332
nNRA6e5zlq-20180303T235820_223_xml.xml,Executive Club,5000349276
nQ4N1PY2RA-20180208T095655_000_xml.xml,Kochi,4296022874
nNRA67ws2c-20180207T021745_049_xml.xml,Veritas Christian Academy,4297669963
nNRA5zefq4-20180105T010500_050_xml.xml,Running,4297894357
nFWN1QD02S-20180223T092217_855_xml.xml,COMPREHENSIVE LOSS,4296544319
nGNEG9V95-20180307T220000_612_xml.xml,Venture Partners,5001448152
nQOPCN-20180119T054904_000_xml.xml,EQE,4296416088
nNRA60c7ls-20180109T120509_264_xml.xml,Jacob,5034792123
nNRA5zi9s1-20180105T100137_868_xml.xml,BBC,4298233235
nKLS5L9GKa-20180308T095338_298_xml.xml,SYED,4296848569
nIGM5bU6a-20180131T015605_802_xml.xml,Emerging Asian,5000267748
nNRA6mza86-20180405T233938_107_xml.xml,Maj,5034758207
nDJR4VflCR-20180629T185157_842_xml.xml,UNCH,5044364316
nDJRbr7TTY-20180219T115016_179_xml.xml,THB,4298114506
nJIJM5TP8a-20180327T013620_842_xml.xml,TTB,5035435666
nCJXbnkxVN-20180104T115700_000_xml.xml,TSX,4296002648
nBw7JcbJwa-20180430T095400_356_xml.xml,Takeover,5000095458
nTOPCN-20180404T214658_000_xml.xml,TWII,4296314356
nQOPWEALTH-20180115T185919_000_xml.xml,McGeever,5001041131
nCJX8SP3VT-20180322T222100_000_xml.xml,TGZ,5035739156
nL3N1SO1TA-20180517T043703_000_xml.xml,E-mail,5035499064
nDJR8ZHmV2-20180208T110158_552_xml.xml,Total assets,5001123238
nDJR60YRx3-20180628T131624_275_xml.xml,Securities Transactions,4295960288
nDJR423vxC-20180402T110849_556_xml.xml,Adj,5057742042
nNRA5z5fhg-20180104T074545_923_xml.xml,Jurt,5059060044
nNRA6e9f8t-20180304T174741_030_xml.xml,Violette,5039588291
nNRA6chhjh-20180225T003238_994_xml.xml,Doc,5035895813
nFCT25WTMK-20180125T045921_451_xml.xml,KRW,4297335629
nIGM5iY1a-20180410T171748_873_xml.xml,Kingdom of Saudi Arabia,5000051009
nARGLV8z7a-20180515T162112_577_xml.xml,Request,4296895780
nASC0A4V1-20180614T122527_000_xml.xml,Senior Notes,5000402451
nBSEbDjYCz-20180207T085057_636_xml.xml,SEBI,5000009933
nDJRbFJySG-20180402T151912_746_xml.xml,Ala,5057819502
nQ3N1PA2WV-20180118T095114_000_xml.xml,Metals price,4298089178
nEMS0001OB-20180612T220448_970_xml.xml,Redlands,5035895261
nBSE4wsdbN-20180416T143638_612_xml.xml,Seventy,5044747700
nDJRbrStqh-20180629T134515_328_xml.xml,WEB SITE,4298160480
nNRA6zsse1-20180519T232740_529_xml.xml,Shir,5001052667
nDJRcg89k4-20180320T145144_447_xml.xml,Solid Success,5037058883
nFWN1PV0FL-20180205T101050_000_xml.xml,A NET,4297156954
